data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,149333502,38,600,,
2021,149333530,10,,,
2021,149333543,10,,,
2021,149333549,20,1957,,
2021,149333551,10,,,
2021,149333565,10,,,
2021,149333567,10,,,
2021,149333573,36,5838,,
2021,149333573,57,600,,
2021,149333580,10,,,
2021,149333584,10,,,
2021,149333591,10,,,
2021,149333604,63,180,2021-05-26,
2021,149333605,63,180,,
2021,149333615,10,,,
2021,149333625,10,,,
2021,149333630,19,309,2021-05-20,
2021,149333631,19,619,,
2021,149333633,11,1,,
2021,149333636,10,,,
2021,149333636,11,1,,
2021,149333639,4,150,2021-06-14,
2021,149333640,4,150,,
2021,149333643,10,,,
2021,149333647,10,,,
2021,149333647,11,1,,
2021,149333656,10,,,
2021,149333664,17,69,2021-08-27,
2021,149333665,17,69,,
2021,149333672,13,400,,
2021,149333693,10,,,
2021,149333700,10,,,
2021,149333703,10,,,
2021,149333704,10,,,
2021,149333706,10,,,
2021,149333708,19,555,2021-08-27,
2021,149333709,19,555,,
2021,149333710,10,,,
2021,149333711,10,,,
2021,149333712,10,,,
2021,149333713,10,,,
2021,149333715,10,,,
2021,149333716,10,,,
2021,149333719,10,,,
2021,149333722,38,250,2021-08-27,
2021,149333723,38,250,,
2021,149333724,10,,,
2021,149333725,10,,,
2021,149333726,10,,,
2021,149333728,4,775,2021-07-03,
2021,149333729,4,775,,
2021,149333730,10,,,
2021,149333731,10,,,
2021,149333733,20,4000,2021-10-04,
2021,149333734,20,4000,,
2021,149333735,10,,,
2021,149333736,3,1,,
2021,149333737,10,,,
2021,149333738,10,,,
2021,149333740,63,500,2021-10-08,
2021,149333741,63,500,,
2021,149333742,10,,,
2021,149333744,10,,,
2021,149333745,10,,,
2021,148124460,20,23,2021-12-23,
2021,148124460,25,250,2021-07-15,
2021,148124460,51,0,2021-07-15,
2021,148124461,20,23,,
2021,148124461,25,250,,
2021,148124461,51,0,,
2021,148124461,63,20,,
2021,149333746,10,,,
