data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,4,149333917,9.000,9,12792756
2021,16,149333922,2.000,1,12792757
2021,5,149333925,1.000,1,12792758
2021,12,149333929,1.000,1,12792759
2021,5,149333930,29.000,10,12792760
2021,5,149333932,37.000,1,12792761
2021,8,149333933,1.000,1,12792762
2021,8,149333940,1.000,1,12792763
2021,5,149333941,1.000,1,12792764
2021,5,149333944,1.000,1,12792765
2021,5,149333951,1.000,1,12792766
2021,4,149333965,4.000,1,12792767
2021,5,149333966,1.000,1,12792768
2021,5,149333967,1.000,1,12792769
2021,2,149333968,1.000,1,12792770
2021,5,149333970,1.000,1,12792771
2021,4,149334025,1.000,1,12792784
2021,5,149334033,1.000,1,12792786
2021,5,149334208,1.000,1,12792822
2021,7,149334220,1.000,11,12792825
2021,6,149334235,1.000,1,12792828
2021,7,149334239,1.000,11,12792831
2021,17,149334242,1.000,1,12792832
2021,5,149334256,13.200,1,12792833
2021,4,149334259,1.000,1,12792834
2021,5,149334260,1.000,1,12792835
2021,5,149334262,3.000,1,12792836
2021,5,149334265,1.000,1,12792837
2021,1,149334269,134.300,1,12792838
2021,13,149334270,2.000,1,12792839
2021,17,149334272,1.000,1,12792840
2021,4,149334277,1.000,1,12792841
2021,8,149334280,1.000,1,12792842
2021,5,149334281,2293.000,1,12792843
2021,4,149334282,1.000,1,12792844
2021,16,149334286,1.000,11,12792845
2021,5,149334287,1.000,1,12792846
2021,8,149334290,1.000,1,12792847
2021,5,149334293,1.030,1,12792848
2021,4,149334296,27.000,9,12792849
2021,5,149334302,1.000,1,12792850
2021,13,149334305,5.000,9,12792851
2021,5,149334307,3.900,1,12792852
2021,5,149334309,10.000,1,12792853
2021,4,149334315,1.000,1,12792854
2021,17,149334320,3.000,1,12792855
2021,12,149334321,1.000,1,12792856
2021,5,149334323,1.000,1,12792857
2021,8,149334324,0.700,1,12792858
2021,15,149334325,19.000,1,12792859
2021,5,149334326,1.000,1,12792860
2021,4,149334330,1.000,1,12792861
2021,4,149334336,1.000,11,12792862
2021,1,149334337,1.000,1,12792863
2021,1,149334338,1.000,1,12792864
2021,17,149334343,2.000,1,12792868
2021,5,149334345,60.000,1,12792869
2021,8,149334360,2.200,1,12792870
2021,4,149334361,2.200,1,12792871
2021,4,149334362,1.000,1,12792872
2021,5,149334363,1.000,1,12792873
2021,4,149334364,1.000,1,12792874
2021,12,149334365,4.000,1,12792875
2021,8,149334366,1.000,1,12792876
2021,12,149334367,1.000,1,12792877
2021,4,149334383,5.000,1,12792878
2021,16,149334384,1.000,1,12792879
2021,5,149334391,10.000,1,12792880
2021,5,149430001,10.000,1,12806144
2021,16,149430019,1.000,11,12806147
2021,1,149334404,1.000,1,12792881
2021,5,149334405,3.800,1,12792882
2021,2,149334407,3.000,1,12792883
2021,1,149334412,1.000,1,12792884
2021,8,149334413,2.000,1,12792885
2021,7,149334415,1.000,1,12792886
2021,5,149334416,1.000,1,12792887
2021,1,149334418,1.000,1,12792888
2021,5,149334422,3.000,1,12792889
2021,5,149334427,1.000,1,12792890
2021,17,149334434,1.000,1,12792891
2021,12,149334436,3.000,1,12792892
2021,1,149334439,1.000,1,12792893
2021,5,149334442,2.000,1,12792894
2021,5,149334445,1.000,1,12792895
2021,1,149334447,2.800,1,12792897
2021,5,149334448,16.800,1,12792898
2021,5,149334453,1.000,1,12792899
2021,5,149334455,8.100,1,12792900
2021,4,149334463,1.000,1,12792901
2021,4,149334464,2.000,1,12792902
2021,12,149334469,1.000,1,12792903
2021,4,149334472,1.000,9,12792905
2021,12,149334476,1.000,1,12792906
2021,1,149334482,1.000,1,12792907
2021,17,149334500,1.000,1,12792908
2021,17,149334501,10.700,1,12792909
2021,5,149334502,1.000,1,12792910
2021,4,149334504,1.000,1,12792911
2021,16,149334507,2.000,1,12792912
2021,4,149334508,0.600,1,12792913
2021,5,149334509,1.000,11,12792914
2021,5,149334510,163.500,1,12792915
2021,8,148126816,2.000,1,12625669
2021,4,149334526,1.000,1,12792916
2021,4,149334529,2.800,1,12792917
2021,1,149334532,17.800,1,12792918
2021,4,149334533,1.000,1,12792919
2021,4,149334535,1.000,1,12792920
2021,5,149334541,1.000,1,12792921
2021,5,149334545,1.000,11,12792922
2021,5,149334546,2.000,9,12792923
2021,5,149334547,1.000,1,12792924
2021,5,149334548,1.000,1,12792925
2021,8,149334549,3.000,1,12792926
2021,17,149334565,1.000,1,12792927
2021,2,149334566,2.100,1,12792928
2021,4,149334567,2.000,1,12792929
2021,4,149334571,1.000,1,12792930
2021,5,149334572,1.000,1,12792931
2021,16,149334575,1.000,1,12792932
2021,4,149334578,1.000,1,12792933
2021,5,148127031,3.000,1,12625727
2021,4,149334587,17.000,1,12792934
2021,8,149334590,46.000,1,12792935
2021,5,149334593,2.000,1,12792936
2021,4,149334595,1.000,11,12792937
