data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,149334328,150125707,5,,
2021,149334329,150125707,7,,
2021,149334330,150125709,6,,
2021,149334332,150125711,4,,
2021,149334334,150125715,4,,
2021,149334335,150125717,1,,
2021,149334336,150125718,6,,
2021,149334337,150125719,6,,
2021,149334338,150125721,6,,
2021,149334339,150125722,1,,
2021,149334340,150125723,1,,
2021,149334341,150125724,1,,
2021,149334342,150125727,1,,
2021,149334343,150125728,6,,
2021,149334344,150125731,1,,
2021,149334345,150125732,6,,
2021,149334346,150125733,7,,
2021,149334347,150125734,1,,
2021,149334348,150125735,1,,
2021,149334349,150125736,7,,
2021,149334350,150125737,1,,
2021,149334351,150125740,7,1,
2021,149334352,150125741,4,,
2021,149334353,150125742,4,,
2021,149334354,150125743,5,,
2021,149334355,150125743,7,,
2021,149334356,150125744,4,,
2021,149334357,150125746,5,,
2021,149334358,150125746,7,,
2021,149334359,150125747,7,1,
2021,149334360,150125750,6,,
2021,149334361,150125751,6,,
2021,149334362,150125752,6,,
2021,149334363,150125753,6,,
2021,149334364,150125754,6,,
2021,149334365,150125756,6,,
2021,149334366,150125757,6,,
2021,149334367,150125758,6,,
2021,149334368,150125759,4,,
2021,149334369,150125760,7,,
2021,149334370,150125761,4,,
2021,149334372,150125763,1,,
2021,149334373,150125763,5,,
2021,149334374,150125763,7,,
2021,149334375,150125764,1,,
2021,149334376,150125766,5,,
2021,149334377,150125766,7,,
2021,149334378,150125768,4,,
2021,149334379,150125772,5,,
2021,149334380,150125772,7,,
2021,149334381,150125773,1,,
2021,149334382,150125773,7,,
2021,149334383,150125774,6,,
2021,149334384,150125775,6,,
2021,149334385,150125777,1,,
2021,149334386,150125778,7,,
2021,149334387,150125779,5,,
2021,149334388,150125779,7,,
2021,149334389,150125780,6,,
2021,149334390,150125781,4,,
2021,149334391,150125782,6,,
2021,149334392,150125784,4,,
2021,149334393,150125785,1,,
2021,149334394,150125786,1,,
2021,149334395,150125786,4,,
2021,149334396,150125786,5,,
2021,149334397,150125786,7,,
2021,149334398,150125788,1,,
2021,149334399,150125790,7,,
2021,149334400,150125791,7,,
2021,149334401,150125792,4,,
2021,149334402,150125793,1,,
2021,149334403,150125794,1,,
2021,149429956,150234652,1,,
2021,149429963,150234660,1,,
2021,149429965,150234663,1,,
2021,149429970,150234666,4,,
2021,149429972,150234669,1,,
2021,149429978,150234678,7,,
2021,149429988,150234692,1,,
2021,149429995,150234698,1,,
2021,149429999,150234703,1,,
2021,149430001,150234707,6,,
2021,149430004,150234712,4,,
2021,149430008,150234715,7,1,
2021,149430011,150234718,4,,
2021,149430015,150234725,1,,
2021,149430019,150234729,6,,
2021,149430021,150234732,1,,
2021,149430022,150234734,4,,
2021,149334404,150125798,6,,
2021,149334405,150125799,6,,
2021,149334406,150125800,1,,
2021,149334407,150125801,6,,
2021,149334408,150125804,4,,
2021,149334409,150125805,1,,
2021,149334410,150125806,1,,
2021,149334411,150125807,4,,
2021,149334412,150125808,6,,
2021,149334413,150125809,6,,
2021,149334414,150125810,1,,
2021,149334415,150125811,6,,
2021,149334416,150125812,6,,
2021,149334417,150125813,7,,
2021,149334418,150125814,6,,
2021,149334419,150125815,7,,
2021,149334420,150125817,4,,
2021,149334421,150125818,1,,
2021,149334422,150125821,6,,
2021,149334423,150125822,4,,
2021,149334424,150125823,1,,
2021,149334425,150125824,4,,
2021,149334426,150125828,1,,
2021,149334427,150125830,6,,
2021,149334428,150125833,1,,
2021,149334429,150125834,1,,
2021,149334430,150125835,1,,
2021,149334431,150125836,7,,
2021,149334432,150125838,4,,
2021,149334433,150125839,7,,
2021,149334434,150125840,6,,
2021,149334435,150125841,1,,
2021,149334436,150125843,6,,
2021,149334437,150125844,7,,
2021,149334438,150125845,7,,
2021,149334439,150125847,6,,
2021,149334440,150125851,1,,
2021,149334441,150125852,7,,
2021,149334442,150125854,6,,
2021,149334443,150125855,1,,
2021,149334444,150125856,6,,
2021,149334445,150125857,6,,
2021,149334446,150125858,1,,
2021,149334447,150125859,6,,
2021,149334448,150125860,6,,
2021,149334449,150125861,1,,
2021,149334450,150125861,5,,
2021,149334451,150125861,7,,
2021,149334452,150125862,1,,
2021,149334453,150125863,6,,
2021,149334454,150125866,1,,
2021,149334455,150125870,6,,
2021,149334456,150125872,1,,
2021,149334457,150125872,5,,
2021,149334458,150125872,7,,
2021,149334459,150125873,1,,
2021,149334460,150125873,5,,
2021,149334461,150125873,7,,
2021,149334462,150125874,7,1,
2021,149334463,150125875,6,,
2021,149334464,150125876,6,,
2021,149334465,150125877,1,,
2021,149334466,150125878,1,,
2021,149948476,150846296,4,,
2021,149948477,150846296,7,,
2021,149334469,150125884,6,,
2021,149334470,150125888,1,,
2021,148126634,148736786,1,,
2021,148126635,148736786,6,,
2021,149334471,150125894,1,,
2021,149334472,150125896,6,,
2021,149334473,150125897,4,,
2021,149334474,150125898,1,,
2021,149334475,150125901,4,,
2021,149334476,150125905,6,,
2021,149334477,150125906,1,,
2021,149334478,150125906,7,,
2021,149334479,150125910,1,,
2021,149334480,150125911,7,1,
2021,149334481,150125912,6,,
2021,149334482,150125913,6,,
2021,149334483,150125914,1,,
2021,149334484,150125915,1,,
2021,149334485,150125916,1,,
2021,149334486,150125918,6,,
2021,149334487,150125919,1,,
2021,149334488,150125919,7,,
2021,149334489,150125920,1,,
2021,149334490,150125921,1,,
2021,149334491,150125922,7,,
