data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,45936253,150165396,1,2021-06-29,1,M,220,40,37,M,20,10,R,,,37,
2021,45936260,150165410,1,2021-10-06,3,N,13B,29,26,M,20,20,N,,,26,
2021,45936267,150165423,1,2021-06-26,3,N,35A,52,49,M,20,20,R,,,49,
2021,45936269,150165427,1,2021-06-26,1,N,13B,35,32,M,10,20,R,,,32,
2021,45936271,150165434,1,2021-06-26,1,M,23C,46,43,M,20,20,N,,,43,
2021,45936272,150165434,2,2021-06-26,1,M,23C,38,35,F,20,20,N,,,35,
2021,45936274,150165441,1,2021-06-26,1,N,280,46,43,M,20,20,N,,,43,
2021,45936275,150165441,2,2021-06-26,1,M,280,38,35,F,20,20,N,,,35,
2021,45936278,150165444,1,2021-06-26,1,M,23C,46,43,M,20,20,N,,,43,
2021,45936279,150165444,2,2021-06-26,1,M,23C,38,35,F,20,20,N,,,35,
2021,45936317,150165529,1,2021-06-27,1,M,220,27,24,M,20,20,N,,,24,
2021,45936325,150165551,1,2021-06-27,1,N,09A,31,28,F,20,20,R,,,28,
2021,45936336,150165572,1,2021-06-27,1,N,23C,27,24,M,10,20,N,,,24,
2021,45936351,150165627,1,2021-06-27,1,N,13C,45,42,M,20,20,R,,,42,
2021,45936352,150165628,1,2021-06-28,3,N,13C,23,20,M,20,20,R,,,20,
2021,45936354,150165633,1,2021-06-27,2,N,23C,43,40,M,20,20,U,,,40,
2021,45936366,150165668,1,2021-06-27,1,N,13B,36,33,M,20,20,N,,,33,
2021,45936370,150165676,1,2021-06-27,1,N,23C,41,38,F,10,20,R,,,38,
2021,45936371,150165676,2,2021-06-27,1,N,23C,40,37,M,10,20,R,,,37,
2021,45936374,150165684,1,2021-06-27,1,N,23C,21,18,M,10,10,N,,,18,
2021,45936378,150165696,1,2021-06-27,1,N,13B,12,09,M,10,20,R,H,,09,
2021,45936379,150165696,2,2021-06-27,1,N,13B,12,09,M,20,20,R,H,,09,
2021,45627333,149127323,1,2022-02-01,3,N,11D,35,32,M,10,20,R,,,32,
2021,45936384,150165710,1,2021-06-27,2,N,90Z,35,32,F,20,20,N,,,32,
2021,45936386,150165713,1,2021-06-27,1,N,35A,60,57,M,20,20,N,,,57,
2021,45806076,149757821,1,2021-09-03,2,N,35A,49,46,M,10,20,R,,,46,
2021,45936401,150165755,1,2021-06-27,1,N,13B,42,39,M,20,20,R,,,39,
2021,45936402,150165755,2,2021-06-27,1,N,13B,33,30,F,20,20,R,,,30,
2021,45936406,150165764,1,2021-06-27,1,N,13A,49,46,M,10,20,R,,,46,
2021,45936414,150165792,1,2021-08-05,3,N,90Z,35,32,M,20,20,N,,,32,
2021,45936417,150165798,1,2021-06-28,1,N,35A,32,29,M,20,20,R,,,29,
2021,45936419,150165803,1,2021-06-28,1,N,13B,47,44,M,10,20,R,,,44,
2021,45936420,150165806,1,2021-09-16,3,N,13A,28,25,M,20,20,N,,,25,
2021,45936424,150165817,1,2021-06-28,1,N,220,33,30,M,10,20,R,,,30,
2021,45936430,150165844,1,2021-06-28,1,N,35A,36,33,M,20,20,R,,,33,
2021,45936434,150165879,1,2021-06-28,1,N,13B,35,32,M,10,20,R,,,32,
2021,45936439,150165898,1,2021-06-28,1,N,35B,42,39,M,10,20,N,,,39,
2021,45936442,150165908,1,2021-06-28,2,N,35A,25,22,F,20,20,U,,,22,
2021,45936443,150165908,2,2021-06-28,2,N,90Z,26,23,M,20,20,R,,,23,
2021,45936448,150165920,1,2021-06-30,1,M,23F,24,21,M,10,10,U,,,21,
2021,45936449,150165923,1,2021-06-28,1,N,290,30,27,M,20,20,N,,,27,
2021,45936452,150165935,1,2021-06-28,3,N,13A,12,09,M,10,20,R,H,,09,
2021,45936455,150165955,1,2021-07-02,2,N,220,42,39,M,10,20,R,,,39,
2021,45936456,150165957,1,2021-07-01,3,N,13A,24,21,M,20,20,R,,,21,
2021,45936457,150165962,1,2021-06-28,2,N,90Z,40,37,M,20,20,R,,,37,
2021,45936458,150165966,1,2021-06-28,1,N,90D,38,35,M,20,20,R,,,35,
2021,45936459,150165971,1,2021-08-10,3,N,720,35,32,F,10,20,R,,,32,
2021,45936460,150165971,2,2021-08-10,3,N,720,38,35,M,10,20,R,,,35,
2021,45936461,150165972,1,2021-07-28,3,N,11D,54,51,M,20,20,N,,,51,
2021,45936462,150165973,1,2021-06-28,1,N,35A,21,18,M,20,20,R,,,18,
2021,45936463,150165973,2,2021-06-28,1,N,35A,21,18,M,20,20,R,,,18,
2021,45936464,150165973,3,2021-06-28,1,N,35A,35,32,M,20,20,R,,,32,
2021,45627360,149127426,1,2021-12-11,2,N,23D,24,21,M,10,20,R,,,21,
2021,45936465,150165981,1,2021-06-28,3,N,13B,31,28,M,20,20,U,,,28,
2021,45936466,150165986,1,2021-06-28,1,N,35A,35,32,M,10,10,N,,,32,
2021,45936467,150165986,2,2021-06-28,1,N,35A,24,21,F,10,20,N,,,21,
2021,45936468,150165997,1,2021-06-28,1,N,35A,29,26,M,20,20,R,,,26,
2021,45936469,150165997,2,2021-06-29,1,N,90C,30,27,M,20,20,R,,,27,
2021,45936470,150166006,1,2021-06-29,1,N,13A,44,41,M,10,10,R,,,41,
2021,45936471,150166014,1,2021-06-29,1,N,520,34,31,M,20,20,R,,,31,
2021,45936472,150166014,2,2021-06-29,1,N,35A,37,34,F,10,20,R,,,34,
2021,45936473,150166017,1,2021-06-29,2,N,13B,30,27,M,20,20,N,,,27,
2021,45936474,150166022,1,2021-06-29,2,N,13B,42,39,M,20,20,R,,,39,
2021,45936475,150166023,1,2021-07-02,2,N,23D,30,27,F,10,20,R,,,27,
2021,45936476,150166026,1,2021-06-29,1,N,13B,36,33,F,10,20,R,,,33,
2021,45936477,150166031,1,2021-06-29,1,N,11B,57,54,M,20,20,R,,,54,
2021,45627372,149127481,1,2021-09-15,2,N,35A,57,54,M,10,20,R,,,54,
2021,45936478,150166054,1,2021-06-29,3,N,90Z,30,27,M,20,20,N,,,27,
2021,45936479,150166054,2,2021-07-03,2,N,90Z,24,21,M,20,20,N,,,18,25
2021,45936480,150166061,1,2021-08-27,2,N,13B,49,46,F,10,20,R,,,46,
2021,45936481,150166065,1,2021-06-29,1,N,13C,12,09,M,10,20,R,H,,09,
2021,45936482,150166068,1,2021-07-13,3,N,11D,36,33,M,10,20,R,,,33,
2021,45936483,150166075,1,2021-06-29,1,N,13A,40,37,M,20,20,N,,,37,
2021,45936484,150166082,1,2021-06-29,1,N,13A,29,26,M,20,20,N,,,26,
2021,45936485,150166086,1,2021-06-29,1,N,13A,39,36,F,10,20,R,,,36,
2021,45936486,150166091,1,2021-06-29,1,N,13A,26,23,M,10,20,R,,,23,
2021,45936487,150166095,1,2021-06-30,3,N,13A,50,47,M,20,20,R,,,47,
2021,45936488,150166099,1,2021-06-29,1,N,13A,28,25,M,10,20,R,,,25,
2021,45936489,150166100,1,2021-06-29,1,N,13B,22,19,M,10,20,R,,,19,
2021,45936490,150166101,1,2021-06-29,1,N,13A,31,28,F,10,20,R,,,28,
2021,45936491,150166104,1,2021-06-29,1,C,120,23,20,M,20,20,R,,,20,
2021,45936492,150166105,1,2021-06-29,1,N,13B,40,37,M,20,20,R,,,37,
2021,45936493,150166111,1,2021-06-29,1,N,250,26,23,M,20,20,N,,,23,
2021,45936494,150166121,1,2021-06-30,1,N,520,35,32,M,20,20,R,,,32,
2021,45936495,150166122,1,2021-06-30,1,N,35A,25,22,M,20,20,R,,,22,
2021,45936496,150166136,1,2021-06-30,1,N,13A,18,15,M,20,20,R,H,,15,
2021,45936497,150166143,1,2021-06-30,1,N,13B,17,14,M,20,20,R,H,,14,
2021,45936498,150166157,1,2021-10-24,1,N,120,36,33,F,10,20,R,,,33,
