data_year,victim_id,offense_id
2021,164073561,178360627
2021,164073561,178360628
2021,166602448,180913962
2021,166602448,180913963
2021,164073576,178360648
2021,164073576,178360649
2021,164073579,178360653
2021,164073580,178360653
2021,164073581,178360653
2021,164073582,178360653
2021,164073583,178360653
2021,164073586,178360656
2021,164073586,178360657
2021,164073589,178360660
2021,164073599,178360674
2021,164073601,178360676
2021,164073603,178360679
2021,164073607,178360682
2021,164073609,178360684
2021,164073620,178360698
2021,164073621,178360699
2021,164073624,178360702
2021,165661199,179962313
2021,165661200,179962314
2021,165661201,179962315
2021,165661202,179962316
2021,165661203,179962317
2021,165661204,179962318
2021,165661205,179962319
2021,165661206,179962319
2021,165661207,179962320
2021,165661208,179962320
2021,165661209,179962321
2021,165661210,179962322
2021,165661211,179962323
2021,165661212,179962324
2021,165661212,179962325
2021,165661213,179962326
2021,165661214,179962327
2021,165661215,179962328
2021,165661216,179962329
2021,165661217,179962330
2021,165661217,179962331
2021,165661218,179962332
2021,165661219,179962333
2021,165661220,179962334
2021,165661221,179962335
2021,165661222,179962336
2021,165661223,179962337
2021,165661225,179962339
2021,165661225,179962340
2021,165661227,179962342
2021,165661228,179962343
2021,165661229,179962344
2021,165661230,179962345
2021,164548579,178828301
2021,164548580,178828301
2021,165661231,179962346
2021,165661232,179962347
2021,165661233,179962348
2021,165661234,179962349
2021,165661235,179962350
2021,165661236,179962351
2021,165661237,179962352
2021,165661237,179962353
2021,165661238,179962354
2021,165661239,179962355
2021,165661240,179962356
2021,165661241,179962357
2021,165661242,179962358
2021,165661242,179962359
2021,165661243,179962360
2021,165661244,179962361
2021,165661245,179962362
2021,165661246,179962363
2021,165661247,179962364
2021,165661248,179962365
2021,165661249,179962366
2021,165249367,179535267
2021,165249368,179535267
2021,165661250,179962367
2021,164548583,178828303
2021,164548584,178828303
2021,165661251,179962368
2021,165661252,179962369
2021,165661253,179962370
2021,165661254,179962371
2021,165661255,179962372
2021,165661256,179962373
2021,165661257,179962374
2021,165661258,179962375
2021,165661259,179962376
2021,165661259,179962377
2021,165661260,179962378
2021,165661261,179962379
2021,165661262,179962380
2021,165661263,179962381
2021,165661264,179962382
2021,165661265,179962383
2021,165661266,179962384
2021,165661267,179962385
2021,165661268,179962385
2021,165661269,179962386
2021,165661270,179962387
2021,165661271,179962388
2021,165661272,179962389
2021,165661273,179962390
2021,165661274,179962391
2021,165661275,179962392
2021,165661276,179962392
2021,165661277,179962393
2021,165661278,179962394
2021,165661278,179962395
2021,165661279,179962396
2021,165661280,179962397
2021,165661281,179962398
2021,165661282,179962399
2021,165661283,179962400
2021,165661284,179962401
2021,165661305,179962423
2021,165661317,179962437
2021,165661337,179962459
2021,165661351,179962475
2021,165661351,179962476
2021,165661359,179962485
2021,165661367,179962493
2021,165661378,179962504
2021,165661384,179962510
2021,165661390,179962516
2021,165661397,179962524
2021,165661408,179962537
2021,165661439,179962570
2021,165661479,179962609
2021,165661479,179962610
2021,165661488,179962620
2021,166480165,180791391
2021,165661509,179962646
2021,165661527,179962664
2021,165661533,179962670
2021,165661557,179962694
2021,165661557,179962695
2021,165661564,179962704
2021,165661571,179962712
2021,165661571,179962713
2021,165661586,179962729
2021,165661588,179962730
2021,165661602,179962745
2021,165661607,179962751
2021,165661612,179962756
2021,165661613,179962757
2021,165661614,179962758
2021,165661615,179962759
2021,165661616,179962760
2021,165661617,179962761
2021,165661618,179962762
2021,165661619,179962763
2021,165661620,179962764
2021,165661621,179962765
2021,165661622,179962766
2021,165661623,179962767
2021,165661624,179962768
2021,165661625,179962769
2021,165661625,179962770
2021,165661626,179962771
2021,165661627,179962772
2021,165661628,179962773
2021,165661629,179962774
2021,165661630,179962775
2021,165661631,179962776
2021,165661632,179962777
2021,165661633,179962778
2021,165661634,179962779
2021,165661635,179962780
2021,165661636,179962781
2021,165661637,179962782
2021,165661638,179962783
2021,165661639,179962784
2021,165661640,179962785
2021,165661641,179962786
2021,165661642,179962787
2021,165661643,179962788
2021,165661644,179962789
2021,165661645,179962790
2021,165661646,179962791
2021,165661647,179962792
2021,165661648,179962793
2021,165661649,179962794
2021,165661650,179962795
2021,165661651,179962796
2021,165661652,179962797
2021,165661653,179962798
2021,165661654,179962799
2021,165661655,179962800
2021,165661656,179962801
2021,165661657,179962802
2021,165661658,179962803
2021,165661659,179962804
2021,165661660,179962805
2021,165661661,179962806
2021,165661662,179962807
2021,165661662,179962808
2021,165661663,179962809
2021,165661664,179962810
2021,165661665,179962811
2021,165661666,179962812
2021,164548585,178828304
2021,164548586,178828304
2021,164548587,178828304
2021,165661667,179962813
2021,165661668,179962814
2021,165661668,179962815
2021,165661669,179962816
2021,165661670,179962817
2021,165661671,179962818
2021,165661672,179962819
2021,165661673,179962820
2021,165661674,179962821
2021,165661675,179962822
2021,165661675,179962823
2021,165661676,179962824
2021,165661677,179962825
2021,165661678,179962826
2021,165661679,179962827
2021,165661680,179962828
2021,165661681,179962829
2021,165661682,179962830
2021,165661683,179962831
2021,165661684,179962832
2021,165661685,179962833
2021,165661686,179962834
2021,165661687,179962835
2021,165661688,179962835
2021,165661689,179962836
2021,165661690,179962837
2021,165661691,179962838
2021,165661692,179962839
2021,165661693,179962840
2021,165661694,179962841
2021,165661695,179962842
2021,165661696,179962843
2021,165661697,179962844
2021,165661698,179962844
2021,165661699,179962845
2021,165661700,179962846
2021,165661701,179962847
2021,165661702,179962848
2021,165661703,179962849
2021,165661703,179962850
2021,165661704,179962851
2021,165661705,179962851
2021,165661706,179962851
2021,165661707,179962852
2021,165661708,179962853
2021,165661709,179962854
2021,165661710,179962855
2021,165661711,179962856
2021,165661712,179962857
2021,165661713,179962858
2021,165661714,179962859
2021,165661715,179962860
2021,165661716,179962861
2021,165661717,179962862
2021,165661718,179962863
2021,165661719,179962864
2021,165661719,179962865
2021,165661720,179962866
2021,165661721,179962867
2021,165661722,179962868
2021,165661723,179962869
2021,165661724,179962870
2021,165661725,179962871
2021,165661726,179962872
2021,165661727,179962873
2021,165661728,179962874
2021,165661729,179962875
2021,165661730,179962876
2021,165661731,179962877
2021,165661732,179962878
2021,165661733,179962879
2021,165661734,179962880
2021,165661735,179962881
2021,165661736,179962882
2021,165661737,179962883
2021,165661738,179962884
2021,165661739,179962885
2021,165661740,179962886
2021,165661741,179962887
2021,165661742,179962888
2021,165661743,179962888
2021,165661744,179962889
2021,165661745,179962890
2021,165661746,179962891
2021,165661747,179962892
2021,165661748,179962893
2021,165661749,179962894
2021,165661750,179962895
2021,165661751,179962896
2021,165249369,179535268
2021,165661752,179962897
2021,165661753,179962898
2021,165661754,179962899
2021,165661756,179962901
2021,165661759,179962904
2021,165661760,179962904
2021,165661761,179962905
2021,165661762,179962906
2021,165661763,179962907
2021,165661764,179962908
2021,165661764,179962909
2021,165661765,179962910
2021,165661766,179962911
2021,165661767,179962912
2021,165661768,179962913
2021,165661769,179962914
2021,165661770,179962915
2021,165661771,179962916
2021,165661772,179962917
2021,165661773,179962918
2021,165661774,179962919
2021,165661775,179962920
2021,165661776,179962921
2021,165661777,179962922
2021,165661778,179962923
2021,165661779,179962924
2021,165661780,179962925
2021,165661781,179962926
2021,165661782,179962927
2021,165661782,179962928
2021,165661783,179962927
2021,165661783,179962928
2021,165661784,179962929
2021,165661785,179962930
2021,165661786,179962932
2021,165661787,179962931
2021,165661788,179962933
2021,165661789,179962934
2021,165661790,179962935
2021,165661791,179962936
2021,165661792,179962937
2021,165661793,179962938
2021,165661794,179962939
2021,165661795,179962940
2021,165661796,179962941
2021,165661797,179962942
2021,165661798,179962943
2021,165661799,179962944
2021,165661800,179962945
2021,165661801,179962946
2021,165661802,179962947
2021,165661803,179962948
2021,165661804,179962949
2021,165661804,179962950
2021,165661805,179962951
2021,165661805,179962952
2021,165661806,179962953
2021,165661807,179962954
2021,165661808,179962955
2021,165661809,179962956
2021,165661811,179962958
2021,165661811,179962959
2021,165661812,179962960
2021,165661813,179962961
2021,165661814,179962962
2021,165661815,179962963
2021,165661816,179962964
2021,165661817,179962965
2021,165249371,179535270
2021,165661818,179962966
2021,165661819,179962967
2021,165661820,179962968
2021,165661821,179962969
2021,165661822,179962970
2021,165661823,179962971
2021,165661824,179962972
2021,165661825,179962973
2021,165661826,179962974
2021,165661827,179962975
2021,165661828,179962976
2021,165661829,179962977
2021,165661830,179962978
2021,165661831,179962979
2021,165661832,179962980
2021,165661833,179962981
2021,165661834,179962982
2021,165661834,179962983
2021,165661835,179962982
2021,165661835,179962983
2021,165661836,179962984
2021,165661837,179962985
2021,165661838,179962986
2021,165661839,179962987
2021,165661840,179962988
2021,165661841,179962989
2021,165661842,179962990
2021,165661843,179962991
2021,165661844,179962992
2021,165661845,179962993
2021,165788962,180090817
2021,165788965,180090820
2021,165788971,180090825
2021,165788978,180090829
2021,165788981,180090832
2021,165788984,180090836
2021,165788988,180090840
2021,165788991,180090843
2021,165788994,180090847
2021,165788997,180090850
2021,165788997,180090851
2021,165789002,180090856
2021,165789011,180090861
2021,165789012,180090861
2021,165789016,180090865
2021,165789020,180090871
2021,165789024,180090875
2021,165789026,180090877
2021,165789029,180090880
2021,165789030,180090881
2021,165789033,180090884
2021,165789038,180090889
2021,165789041,180090894
2021,165789041,180090895
2021,165789045,180090898
2021,165789048,180090902
2021,165789050,180090904
2021,165789052,180090907
2021,165789056,180090911
2021,165789056,180090912
2021,165789060,180090916
2021,165789062,180090918
2021,165661846,179962994
2021,165661847,179962994
2021,165661848,179962994
2021,165661849,179962995
2021,165661849,179962996
2021,165661850,179962997
2021,165661851,179962998
2021,165661852,179962999
2021,165661853,179963000
2021,165661854,179963001
2021,165661855,179963002
2021,165661856,179963003
2021,165661857,179963004
2021,165661858,179963005
2021,165661859,179963006
2021,165661860,179963007
2021,165661861,179963008
2021,165661862,179963009
2021,165661863,179963010
2021,165661864,179963011
2021,165661865,179963012
2021,165661865,179963013
2021,165661866,179963014
2021,165661866,179963015
2021,165661867,179963016
2021,165661868,179963017
2021,165661869,179963018
2021,165661870,179963019
2021,165661871,179963020
2021,165661872,179963021
2021,165661873,179963022
2021,165661874,179963023
2021,165661875,179963024
2021,165661876,179963025
2021,165661877,179963026
2021,165661878,179963027
2021,165661879,179963028
2021,165661880,179963029
2021,165661881,179963030
2021,165661882,179963031
2021,165661883,179963032
2021,165661884,179963032
2021,165661885,179963033
2021,165661886,179963034
2021,165661887,179963035
2021,165661888,179963036
2021,165661888,179963037
2021,165661889,179963038
2021,165661890,179963039
2021,165661891,179963040
2021,165661892,179963041
2021,165661893,179963042
2021,165661894,179963043
2021,165661895,179963044
2021,165661895,179963045
2021,165661896,179963046
2021,165661897,179963047
2021,165661898,179963048
2021,165661899,179963049
2021,165661900,179963050
2021,165661901,179963051
2021,165661902,179963052
2021,165661903,179963053
2021,165661904,179963054
2021,165661905,179963055
2021,165661906,179963056
2021,165661907,179963057
2021,165661908,179963058
2021,165661909,179963059
2021,165661910,179963060
2021,165661911,179963061
2021,165661911,179963062
2021,165661912,179963063
2021,165661912,179963064
2021,165661913,179963065
2021,165661913,179963066
2021,165661914,179963067
2021,165661915,179963068
2021,165661916,179963069
2021,165661917,179963070
2021,165661918,179963071
2021,165661919,179963072
2021,165661920,179963073
2021,165661921,179963074
2021,165661922,179963075
2021,165661923,179963076
2021,165661924,179963077
2021,165661925,179963078
2021,165661926,179963079
2021,165661926,179963080
2021,165661927,179963081
2021,165661928,179963082
2021,165661928,179963083
2021,165661929,179963084
2021,165661930,179963085
2021,165661931,179963086
2021,165661932,179963087
2021,166480166,180791392
2021,166480166,180791393
2021,165661934,179963090
2021,165661935,179963091
2021,165661936,179963092
2021,165661937,179963093
2021,165661938,179963094
2021,165661939,179963094
2021,165661940,179963095
2021,165661941,179963096
2021,165661942,179963097
2021,165661943,179963098
2021,164075316,178362605
2021,165661944,179963099
2021,165661945,179963099
2021,165661946,179963100
2021,165661947,179963101
2021,165661948,179963102
2021,165661949,179963103
2021,165661950,179963104
2021,165661951,179963105
2021,165661952,179963106
2021,165661953,179963107
2021,165661954,179963108
2021,165661955,179963109
2021,165661956,179963110
2021,165661957,179963111
2021,165661958,179963112
2021,165661959,179963113
2021,165661960,179963114
2021,165661960,179963115
2021,165661961,179963116
2021,165661962,179963117
2021,165661963,179963118
2021,165661964,179963119
2021,165661965,179963120
2021,165661965,179963121
2021,165661966,179963122
2021,165661967,179963123
2021,165661968,179963124
2021,165661969,179963125
2021,165661970,179963126
2021,165661971,179963127
2021,165661972,179963128
2021,165661973,179963129
2021,165661974,179963130
2021,165661975,179963131
2021,165661976,179963132
2021,165661977,179963133
2021,165661978,179963134
2021,165661978,179963135
2021,165661979,179963136
2021,166480167,180791394
2021,165661981,179963138
2021,165661982,179963139
2021,165661983,179963140
2021,165661984,179963141
2021,165661985,179963142
2021,165661986,179963143
2021,165661987,179963144
2021,165661988,179963145
2021,165661989,179963146
2021,165661990,179963147
2021,165661991,179963148
2021,165661991,179963149
2021,165661992,179963150
2021,165661993,179963151
2021,165661993,179963152
2021,165661994,179963153
2021,165661995,179963154
2021,165661995,179963155
2021,165661996,179963156
2021,165661997,179963157
2021,165661998,179963158
2021,165661999,179963159
2021,165662000,179963160
2021,165662001,179963161
2021,165662001,179963162
2021,165662002,179963163
2021,165662003,179963164
2021,165662004,179963165
2021,165662005,179963166
2021,165662006,179963167
2021,165662007,179963168
2021,165662008,179963169
2021,165662009,179963170
2021,165662010,179963171
2021,165662011,179963172
2021,165662012,179963173
2021,165662013,179963174
2021,165662014,179963175
2021,165662015,179963176
2021,164075536,178362846
2021,165662016,179963177
2021,165662017,179963178
2021,165662018,179963179
2021,165662019,179963180
2021,165662020,179963180
2021,165662021,179963181
2021,166480168,180791395
2021,165662023,179963183
2021,165662024,179963184
2021,165662025,179963185
2021,165662025,179963186
2021,165662026,179963187
2021,165662027,179963188
2021,165662028,179963189
2021,164075579,178362896
2021,165662029,179963190
2021,165662030,179963191
2021,165662030,179963192
2021,165662031,179963193
2021,165662032,179963194
2021,165662032,179963195
2021,165662033,179963196
2021,165662034,179963197
2021,165662034,179963198
2021,165662035,179963199
2021,165662036,179963200
2021,165662037,179963201
2021,165662038,179963202
2021,165662039,179963203
2021,165662040,179963203
2021,165662041,179963203
2021,165662042,179963203
2021,165662043,179963204
2021,165662044,179963205
2021,165662045,179963206
2021,165662046,179963207
2021,165662047,179963208
2021,165662048,179963209
2021,165662049,179963210
2021,165662050,179963211
2021,165662051,179963212
2021,165662052,179963213
2021,165662053,179963214
2021,165662054,179963215
2021,165662055,179963216
2021,165662056,179963217
2021,165662057,179963218
2021,165662058,179963219
2021,165662059,179963220
2021,165662060,179963220
2021,165662061,179963221
2021,165662062,179963222
2021,165662063,179963223
2021,165662064,179963224
2021,165662065,179963224
2021,165662066,179963225
2021,165662067,179963226
2021,165662068,179963227
2021,165662069,179963228
2021,165662070,179963229
2021,165662071,179963230
2021,165662072,179963231
2021,165662076,179963234
2021,165662077,179963235
2021,165662078,179963236
2021,165662079,179963237
2021,165662080,179963238
2021,165662081,179963239
2021,165662082,179963240
2021,165662083,179963241
2021,165662084,179963242
2021,165662085,179963243
2021,165662086,179963244
2021,164548588,178828305
2021,164548589,178828305
2021,164548590,178828305
2021,165662087,179963245
2021,165662088,179963246
2021,165662089,179963247
2021,165662090,179963248
2021,165662091,179963248
2021,165662092,179963249
2021,165662093,179963250
2021,165662093,179963251
2021,165662094,179963252
2021,165662095,179963253
2021,165662095,179963254
2021,165662096,179963255
2021,165662097,179963256
2021,165662098,179963257
2021,165662099,179963258
2021,165662100,179963259
2021,165662101,179963260
2021,165662102,179963261
2021,165662103,179963262
2021,165662104,179963263
2021,165662105,179963264
2021,165662106,179963265
2021,165662107,179963266
2021,165662108,179963267
2021,165662109,179963268
2021,165662110,179963269
2021,165662111,179963270
2021,165662112,179963271
2021,165662113,179963272
2021,165662114,179963272
2021,165662115,179963273
2021,165662116,179963274
2021,164075813,178363153
2021,164075813,178363154
2021,165662117,179963275
2021,165662118,179963276
2021,165662119,179963277
2021,165662120,179963278
2021,165662121,179963279
2021,165662122,179963280
2021,165662123,179963281
2021,165662124,179963282
2021,165662125,179963283
2021,165662126,179963284
2021,165662127,179963285
2021,165662128,179963286
2021,165662129,179963287
2021,165662130,179963288
2021,165662131,179963289
2021,165662131,179963290
2021,165662132,179963291
2021,165662133,179963292
2021,165662134,179963293
2021,165662135,179963294
2021,165662136,179963295
2021,165662136,179963296
2021,165662137,179963297
2021,165662138,179963298
2021,165662139,179963299
2021,165662140,179963300
2021,165662141,179963301
2021,165662142,179963302
2021,165662143,179963303
2021,165662144,179963304
2021,165662145,179963305
2021,165662146,179963306
2021,165662146,179963307
2021,165662147,179963308
2021,165662148,179963309
2021,165662149,179963310
2021,165662150,179963311
2021,165662151,179963312
2021,165662152,179963313
2021,165662153,179963314
2021,165662154,179963315
2021,165662155,179963316
2021,165662156,179963317
2021,165662157,179963318
2021,165662158,179963319
2021,165662159,179963320
2021,165662159,179963321
2021,165662160,179963322
2021,165662161,179963323
2021,165662162,179963323
2021,165662163,179963324
2021,165662164,179963325
2021,165662165,179963326
2021,165662166,179963327
2021,165662167,179963328
2021,165662168,179963328
2021,165662169,179963329
2021,165662170,179963329
2021,165662171,179963330
2021,165662172,179963331
2021,165662173,179963332
2021,165662174,179963333
2021,165662175,179963334
2021,165662176,179963335
2021,165662177,179963336
2021,165662177,179963337
2021,165662178,179963338
2021,165662178,179963339
2021,165662179,179963340
2021,165662180,179963341
2021,165662181,179963342
2021,165662182,179963343
2021,165662183,179963344
2021,165662184,179963345
