data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,45925813,,51
2021,45925814,,51
2021,45925815,,51
2021,45925816,,51
2021,45925817,,51
2021,45925818,,51
2021,45925819,,51
2021,45925820,,51
2021,45925821,,51
2021,45925823,,51
2021,45925824,,51
2021,45925825,,51
2021,45528105,,51
2021,45528112,,52
2021,45925828,,51
2021,45925829,,51
2021,45925830,,52
2021,45925831,,51
2021,45634031,,51
2021,46128314,,52
2021,45925834,,51
2021,45925838,,51
2021,45925839,,51
2021,45925841,,51
2021,45925842,,51
2021,45925845,,51
2021,45925846,,51
2021,45925849,,51
2021,45925851,,51
2021,45925853,,52
2021,45925859,,51
2021,45925861,,51
2021,45925865,,8
2021,45925866,,51
2021,45925870,,51
2021,45925872,,51
2021,45556987,,51
2021,45925874,,51
2021,45556988,,51
2021,45925877,,51
2021,45556990,,51
2021,45925879,,51
2021,45925881,,51
2021,45925883,,51
2021,45925884,,51
2021,45925885,,51
2021,45925887,,51
2021,45925888,,51
2021,45925889,,51
2021,45925890,,51
2021,45925891,,51
2021,45925892,,51
2021,45925893,,51
2021,45925894,,51
2021,45925895,,51
2021,45925896,,51
2021,45925898,,51
2021,45925899,,51
2021,45925900,,51
2021,45925901,,51
2021,45557006,,52
2021,45925902,,51
2021,45925904,,51
2021,45925905,,52
2021,45925906,,51
2021,45925907,,51
2021,45925908,,51
2021,45925909,,51
2021,45925910,,51
2021,45806032,,52
2021,45925911,,51
2021,45925912,,51
2021,45925913,,51
2021,45925914,,51
2021,45925915,,51
2021,45925916,,51
2021,45925917,,51
2021,45925918,,51
2021,45557023,,51
2021,45925919,,51
2021,45925920,,51
2021,45925921,,51
2021,45925922,,51
2021,45925923,,51
2021,45925924,,51
2021,45925925,,51
2021,45925926,,51
2021,45925927,,51
2021,45925928,,51
2021,45925929,,51
2021,45925930,,51
2021,45557042,,51
2021,45925931,,52
2021,45925932,,51
2021,45925933,,51
2021,45925934,,51
2021,45925935,,51
2021,45925936,,51
2021,45925937,,51
2021,45925938,,51
2021,45925939,,51
2021,45925940,,51
2021,45925941,,51
2021,45925942,,51
2021,45557062,,51
2021,45925943,,51
2021,45925944,,51
2021,45925945,,51
2021,45925946,,51
2021,46128336,,51
2021,45557073,,51
2021,45925948,,51
2021,45925949,,51
2021,45557076,,52
2021,45925950,,51
2021,45925951,,51
2021,45925952,,51
2021,45925953,,51
2021,45925954,,51
2021,45557085,,51
2021,45925955,,51
2021,45925956,,51
2021,45925957,,51
2021,45925958,,51
2021,45925959,,52
2021,46128337,,8
2021,46128338,,51
2021,45925962,,51
2021,46128339,,51
2021,45557101,,51
2021,45557102,,51
2021,45925963,,51
2021,45925964,,51
2021,45925965,,51
2021,45925966,,3
2021,45925967,,51
2021,45925968,,51
2021,45925969,,51
2021,45557115,,51
2021,45557116,,51
2021,46128340,,51
2021,46128341,,51
2021,45925971,,52
2021,45925972,,51
2021,45925973,,51
2021,45925974,,51
2021,45557122,,51
2021,45557123,,51
2021,45925975,,51
2021,45925976,,51
2021,45925977,,51
2021,45925978,,51
2021,45925979,,51
2021,45925980,,51
2021,45925981,,51
2021,45557131,,51
2021,45557132,,51
2021,45557133,,51
2021,45557134,,51
2021,46128342,,51
2021,45634033,,51
2021,45806034,,52
2021,45925982,,52
2021,45634035,,51
2021,45925983,,51
2021,45925984,,51
2021,45557137,,51
2021,45557138,,52
2021,45557139,,51
2021,45634036,,51
2021,45634037,,3
2021,45557141,,51
2021,45557142,,51
2021,45557143,,51
2021,45557144,,51
2021,45557145,,8
2021,45557146,,51
2021,45557147,,51
2021,45557148,,51
2021,45557149,,51
2021,45557150,,51
2021,45557151,,51
2021,45557152,,51
2021,46128343,,51
2021,45557154,,51
2021,45557155,,51
2021,45557156,,51
2021,45557157,,51
2021,45557158,,51
2021,46128344,,52
2021,45557159,,51
2021,45557160,,51
2021,45557161,,51
2021,45557162,,51
2021,45557163,,51
2021,45557164,,3
2021,45557165,,51
2021,45557166,,51
2021,45557167,,51
2021,45557168,,51
2021,45557169,,51
2021,45557170,,51
2021,45557171,,51
2021,45557172,,53
